2545,17065
2546,0
2547,5473
2548,19
2549,662
2550,0
2551,223
2552,0
2553,576
2554,0
2555,0
2556,864
2557,80
2558,0
2559,0
2560,0
2561,0
2562,0
2563,0
2622,0
2623,0
2624,0
2625,0
2626,0
2627,0
2628,0
2629,0
2630,45
2631,0
2632,0
2633,85
2634,0
2635,78
2636,0
2637,0
2638,66
2639,60
2640,0
2641,0
2642,54
2643,0
2644,7
2645,0
2646,0
2647,0
2648,66
2649,0
2650,0
2651,0
2652,94
2653,37
2654,0
2655,0
2656,0
2657,0
2658,0
2659,0
2660,0
2662,0
2663,17
2664,0
2665,0
2666,0
2667,6
2668,0
2669,0
2670,89
2671,0
2672,1067
